film_name,film_year,production_company
The Best Years of Our Lives,1946,Samuel Goldwyn Productions
Anna and the King of Siam,1946,Twentieth Century Fox
Henry V,1944,Two Cities Films
Humoresque,1946,Warner Bros.
The Killers,1946,Mark Hellinger Productions
The Jolson Story,1946,Columbia Pictures
Blue Skies,1946,Paramount Pictures
The Harvey Girls,1946,Metro-Goldwyn-Mayer
Night and Day,1946,Warner Bros.
A Double Life,1947,Kanin Productions
The Bishop's Wife,1947,Samuel Goldwyn Productions
Forever Amber,1947,20th Century Fox
Life with Father,1947,Warner Bros.
Fiesta,1947,Metro-Goldwyn-Mayer
Song of the South,1946,Walt Disney Productions
The Red Shoes,1948,The Archers
Hamlet,1948,Two Cities
Joan of Arc,1948,Sierra Pictures
The Snake Pit,1948,20th Century Fox
Easter Parade,1948,Metro-Goldwyn-Mayer
The Emperor Waltz,1948,Paramount Pictures
The Pirate,1948,Metro-Goldwyn-Mayer
Romance on the High Seas,1948,Michael Curtiz Productions
The Heiress,1949,Paramount Pictures
On the Town,1949,Metro-Goldwyn-Mayer
Jolson Sings Again,1949,Columbia Pictures
Look for the Silver Lining,1949,Warner Bros.
Sunset Boulevard,1950,Paramount Pictures
All About Eve,1950,20th Century-Fox
No Sad Songs for Me,1950,Columbia Pictures
Samson and Delilah,1949,Paramount Pictures
Annie Get Your Gun,1950,Metro-Goldwyn-Mayer
Cinderella,1950,Walt Disney Productions
I'll Get By,1950,20th Century Fox
Three Little Words,1950,Metro-Goldwyn-Mayer
Death of a Salesman,1951,Columbia Pictures
Death of a Salesman,1951,
Quo Vadis,1951,Metro-Goldwyn-Mayer
An American in Paris,1951,Metro-Goldwyn-Mayer
Alice in Wonderland,1951,Walt Disney Productions
The Great Caruso,1951,Metro-Goldwyn-Mayer
Show Boat,1951,Metro-Goldwyn-Mayer
High Noon,1952,Stanley Kramer Productions
Ivanhoe,1952,Metro-Goldwyn-Mayer
Hans Christian Andersen,1952,Samuel Goldwyn Productions
Singin' in the Rain,1952,Metro-Goldwyn-Mayer
Lili,1953,Metro-Goldwyn-Mayer
Above and Beyond,1952,Metro-Goldwyn-Mayer
From Here to Eternity,1953,Columbia Pictures
Julius Caesar,1953,Metro-Goldwyn-Mayer
This Is Cinerama,1952,Cinerama Productions
The Band Wagon,1953,Metro-Goldwyn-Mayer
Kiss Me Kate,1953,Metro-Goldwyn-Mayer
The High and the Mighty,1954,Wayne-Fellows Productions
The Caine Mutiny,1954,Stanley Kramer Productions
Genevieve,1953,Sirius Productions
On the Waterfront,1954,Horizon Pictures
The Silver Chalice,1954,Victor Saville Productions
Seven Brides for Seven Brothers,1954,Metro-Goldwyn-Mayer
Carmen Jones,1954,Otto Preminger Films
The Glenn Miller Story,1954,Universal-International
A Star Is Born,1954,Transcona Enterprises
Irving Berlin's There's No Business Like Show Business,1954,20th Century Fox
The Man with the Golden Arm,1955,Carlyle Productions
Daddy Long Legs,1955,20th Century Fox
