movie_id,movie_name,run_time,run_time
588,Jack Cardiff,,
589,Jules Dassin,,
590,(34th),,
591,Federico Fellini,,
592,J. Lee Thompson,,
593,(35th),,
594,Pietro Germi,,
595,Robert Mulligan,,
596,Arthur Penn,,
597,Frank Perry,,
598,(36th),,
599,Martin Ritt,,
600,(37th),,
601,Peter Glenville,,
602,Robert Stevenson,,
603,(38th),,
604,John Schlesinger,,
605,Hiroshi Teshigahara,,
606,(39th),,
607,Michelangelo Antonioni,,
608,Claude Lelouch,,
609,(40th),,
610,(41st),,
611,Anthony Harvey,,
612,Gillo Pontecorvo,,
613,Franco Zeffirelli,,
614,(42nd),,
615,Costa-Gavras,,
616,George Roy Hill,,
617,Arthur Hiller,,
618,Ken Russell,,
619,(44th),,
620,Peter Bogdanovich,,
621,(45th),,
622,Jan Troell,,
623,(46th),,
624,Bernardo Bertolucci,,
625,William Friedkin,,
626,George Lucas,,
627,(47th),,
628,John Cassavetes,,
629,Bob Fosse,,
630,François Truffaut,,
631,(48th),,
632,(49th),,
633,Lina Wertmüller,,
634,(50th),,
635,(51st),,
636,Woody Allen,,
637,Hal Ashby,,
638,Alan Parker,,
639,(52nd),,
640,Édouard Molinaro,,
641,David Lynch,,
642,Richard Rush,,
643,(54th),,
644,Hugh Hudson,,
645,Louis Malle,,
646,Mark Rydell,,
647,(55th),,
648,Wolfgang Petersen,,
649,(56th),,
650,Bruce Beresford,,
651,(57th),,
652,Robert Benton,,
653,Roland Joffé,,
654,(58th),,
655,Héctor Babenco,,
656,Akira Kurosawa,,
657,Peter Weir,,
658,(59th),,
659,James Ivory,,
660,(60th),,
661,Lasse Hallström,,
662,Adrian Lyne,,
663,(61st),,
664,Charles Crichton,,
665,(62nd),,
666,Stephen Frears,,
667,Barbet Schroeder,,
668,(64th),,
669,Barry Levinson,,
670,Ridley Scott,,
671,John Singleton,,
672,Oliver Stone,,
673,(65th),,
674,Neil Jordan,,
675,(66th),,
676,(67th),,
677,Krzysztof Kieślowski,,
678,Robert Redford,,
679,Quentin Tarantino,,
680,(68th),,
681,Mike Figgis,,
682,Chris Noonan,,
683,Michael Radford,,
684,Tim Robbins,,
685,(69th),,
686,Miloš Forman,,
687,Scott Hicks,,
688,Mike Leigh,,
689,(70th),,
690,Peter Cattaneo,,
691,Atom Egoyan,,
692,Gus Van Sant,,
693,(71st),,
694,Roberto Benigni,,
695,John Madden,,
696,Terrence Malick,,
697,(72nd),,
698,Spike Jonze,,
699,M. Night Shyamalan,,
700,Traffic,,147.0
701,Stephen Daldry,,
702,Steven Soderbergh,,
703,(74th),,
704,(75th),,
705,Pedro Almodóvar,,
706,Rob Marshall,,
707,(76th),,
708,Sofia Coppola,,
709,Fernando Meirelles,,
710,(77th),,
711,Alexander Payne,,
712,(78th),,
713,George Clooney,,
714,Bennett Miller,,
715,(79th),,
716,Paul Greengrass,,
717,(80th),,
718,Tony Gilroy,,
719,Jason Reitman,,
720,Julian Schnabel,,
721,(81st),,
722,David Fincher,,
723,(82nd),,
724,Darren Aronofsky,,
725,Joel Coen and Ethan Coen,,
726,David O. Russell,,
727,(84th),,
728,(85th),,
729,Michael Haneke,,
730,Benh Zeitlin,,
731,(86th),,
732,Steve McQueen,,
733,(87th),,
734,Morten Tyldum,,
735,(88th),,
736,Lenny Abrahamson,,
737,Tom McCarthy,,
738,George Miller,,
739,(89th),,
740,Barry Jenkins,,
741,Kenneth Lonergan,,
742,Denis Villeneuve,,
743,(90th),,
744,Greta Gerwig,,
745,Jordan Peele,,
746,(91st),,
747,Yorgos Lanthimos,,
748,Spike Lee,,
749,Paweł Pawlikowski,,
750,(92nd),,
751,Lee Isaac Chung,,
752,Thomas Vinterberg,,
753,(94th),,
754,Ryusuke Hamaguchi,,
755,(95th),,
756,Martin McDonagh,,
757,Ruben Östlund,,
758,(96th),,
759,Jonathan Glazer,,
760,Justine Triet,,
761,(97th),,
762,Jacques Audiard,,
763,Brady Corbet,,
764,James Mangold,,
765,The Green Goddess,,73.0
766,The Big Pond,,78.0
767,"Capt. Hugh ""Bulldog"" Drummond",,
768,Condemned,,86.0
769,Yegor,,
770,Lionel Barrymore,,
771,Skippy Skinner,,
772,Yancey Cravat,,
773,Tony Cavendish,,
774,Walter Burns,,
775,Wallace Beery,,
776,Dr. Henry Jekyll / Mr. Edward Hyde,,
777,The Actor,,
778,Charles Laughton,,
779,Peter Standish,,
780,James Allen,,
781,Clark Gable,,
782,"Alessandro, Duke of Florence",,
783,Nick Charles,,
784,Victor McLaglen,,
785,Lt. Fletcher Christian,,
786,Captain William Bligh,,
787,Joe Radek,,
788,Midshipman,,
789,Paul Muni,,
790,Longfellow Deeds,,
791,Sam Dodsworth,,
792,Godfrey Park,,
793,Father Tim Mullin,,
794,Spencer Tracy,,
795,Emperor Napoleon Bonaparte,,
796,Norman Maine,,
797,Danny,,
798,Émile Zola,,
799,Pepe le Moko,,
800,Rocky Sullivan,,
801,Dr. Andrew Manson,,
802,Professor Henry Higgins,,
803,Robert Donat,,
804,Rhett Butler,,
805,Heathcliff,,
806,Mickey Moran,,
807,Jefferson Smith,,
808,Charlie Chaplin,,
809,Henry Fonda,,
810,Raymond Massey,,
811,Cary Grant,,
812,Walter Huston,,
813,Robert Montgomery,,
814,Ronald Colman,,
815,Gary Cooper,,
816,Walter Pidgeon,,
