nomination_id,person_id
1109,1048
1111,1049
1112,1050
1120,1051
1127,1052
1129,1053
1130,1054
1133,1055
1137,1056
1139,1057
1141,1058
1144,1059
1146,1060
1150,1062
1150,1067
1151,1068
1152,1069
1153,1070
1156,1071
1158,1072
1159,1074
1159,1075
1159,1076
1159,1073
1161,1079
1162,1080
1164,1081
1165,1082
1167,1089
1169,1090
1173,1091
1177,1099
1177,1100
1179,1101
1180,1102
1182,1103
1183,1104
1184,1105
1185,1106
1187,1112
1187,1113
1187,1107
1189,1114
1191,1115
1197,1119
1197,1120
1197,1116
1198,1121
1199,1122
1201,1123
1202,1124
1204,1125
1205,1126
1208,149
1209,536
1210,462
1212,174
1213,149
1214,558
1214,559
1215,563
1216,283
1217,145
1218,283
1219,572
1220,262
1221,253
1222,203
1223,149
1224,149
1225,149
1226,174
1227,278
1228,598
1229,149
1230,572
1231,462
1232,203
1233,283
1234,262
1235,253
1236,149
1237,217
1238,253
1239,462
1240,283
1242,283
1243,262
1244,462
1245,462
1246,149
1247,398
1248,253
1249,283
1250,343
1251,462
1252,518
1253,283
1255,149
1256,343
1257,203
1260,462
1261,283
1262,145
1263,203
1264,174
1265,693
1266,462
1267,37
1268,149
1269,709
1270,462
1271,149
1272,715
1273,283
1274,253
1275,462
1276,462
1277,727
1278,262
1279,283
1280,283
1281,253
1282,743
1283,541
1283,749
1284,354
1285,737
1286,755
1287,293
1288,762
1289,302
1290,771
1291,202
1291,263
1292,779
1293,784
1294,634
1295,413
1296,354
1297,797
1298,762
1299,638
1300,806
1301,723
1302,818
1303,779
1304,822
1305,823
1306,217
1307,826
1308,413
1309,354
1309,832
1310,518
1311,293
1312,797
1313,845
1313,846
1314,662
1315,314
1316,399
1317,743
1318,144
1319,416
1320,762
1321,818
1322,737
1323,877
1324,354
1325,388
1326,884
1326,885
1327,519
1335,890
1336,891
1343,892
1349,893
1356,894
1359,895
1365,896
1366,897
1370,898
1372,899
1373,900
1374,901
1377,749
1379,907
1385,908
1386,909
1387,910
1389,911
1392,912
1393,913
1394,914
1395,915
1397,916
1399,917
1401,918
1403,919
1404,920
1407,921
1411,922
1412,923
1413,924
1417,925
1421,926
1422,927
1424,928
1425,929
1426,930
1427,932
1430,937
1432,938
1435,939
1438,940
1440,941
1441,942
1442,943
1446,944
1450,945
1451,946
1455,947
1459,948
1462,949
1464,950
1466,951
1467,952
1469,953
1470,954
1471,955
1472,956
1474,957
1475,958
1476,959
1477,965
1477,960
1478,966
1480,967
1481,968
1484,969
1486,970
1487,971
1488,972
1489,973
1492,974
1494,975
1495,976
1497,977
1498,978
1499,979
1501,980
1502,981
1505,982
1509,983
1513,984
1514,985
1515,986
1517,987
1519,988
1520,989
1526,990
1527,999
1527,992
1527,1000
1529,1001
1533,1002
1534,1003
1535,1004
1536,1005
1538,1006
1540,1007
1542,1008
1544,1009
1547,1010
1551,1011
1553,1012
1555,1013
1557,1014
1559,1015
1560,1016
1562,1017
1566,1018
1567,1019
1572,1020
1576,1022
1577,1023
1579,1024
1582,1031
1582,1032
1582,1033
1584,1034
1585,1035
1588,1037
1591,1039
1593,1040
1597,1041
1603,1042
1604,1043
1608,1044
1609,1045
1611,1046
1613,1047
1620,1048
1622,1049
1623,1050
1631,1051
1638,1052
1640,1053
1641,1054
1644,1055
1648,1056
1650,1057
1652,1058
1655,1059
1657,1060
1661,1062
1661,1067
1662,1068
1663,1069
1664,1070
1667,1071
1669,1072
1670,1074
1670,1075
1670,1076
1670,1073
1672,1079
1673,1080
1675,1081
1676,1082
1678,1089
1680,1090
1684,1091
1688,1099
1688,1100
1690,1101
1691,1102
1693,1103
1694,1104
1695,1105
1696,1106
1698,1112
1698,1113
1698,1107
1700,1114
1702,1115
1708,1119
1708,1120
1708,1116
1709,1121
1710,1122
1712,1123
1713,1124
1715,1125
1716,1126
1718,727
1719,262
1720,283
1721,283
1722,253
1723,743
1724,541
1724,749
1725,354
1726,737
1727,755
1728,293
1729,762
1730,302
1731,771
1732,202
1732,263
1733,779
1734,784
1735,634
1736,413
1737,354
1738,797
1739,762
1740,638
1741,806
1742,723
1743,818
1744,779
1745,822
1746,823
1747,217
1748,826
1749,413
1750,354
1750,832
1751,518
1752,293
1753,797
1754,845
1754,846
1755,662
1756,314
1757,399
1758,743
1759,144
1760,416
1761,762
1762,818
1763,737
1764,877
1765,354
1766,388
1767,884
1767,885
1768,519
1776,890
1777,891
1784,892
1790,893
1797,894
1800,895
1806,896
1807,897
1811,898
1813,899
1814,900
1815,901
1818,749
1820,907
1826,908
1827,909
1828,910
1830,911
1833,912
1834,913
1835,914
1836,915
1838,916
1840,917
1842,918
1844,919
1845,920
1848,921
1852,922
1853,923
1854,924
1858,925
1862,926
1863,927
1865,928
1866,929
1867,930
1868,932
1871,937
1873,938
1876,939
1879,940
1881,941
1882,942
1883,943
1887,944
1891,945
1892,946
1896,947
1900,948
1903,949
1905,950
1907,951
1908,952
1910,953
1911,954
1912,955
1913,956
1915,957
1916,958
1917,959
1918,965
1918,960
1919,966
1921,967
1922,968
1925,969
1927,970
1928,971
1929,972
1930,973
1933,974
1935,975
1936,976
